,parent_id,rank,tax_name,root,below_root,superkingdom,below_superkingdom,below_below_superkingdom,below_below_below_superkingdom,below_below_below_below_superkingdom,phylum,below_phylum,below_below_phylum,subphylum,class,below_class,below_below_class,subclass,order,below_order,below_below_order,suborder,family,below_family,below_below_family,below_below_below_family,subfamily,tribe,genus,below_genus,subgenus,species_group,species_subgroup,species,below_species,below_below_species,below_below_below_species,subspecies,below_subspecies,below_below_subspecies,below_below_below_subspecies
16,28211,order,Rhizobiales,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,,,,,Rhizobiales,,,,,,,,,,,,,,,,,,,,,,
14,28211,order,Rhizobiales,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,,,,,Rhizobiales,,,,,,,,,,,,,,,,,,,,,,
75,356,family,Bradyrhizobiaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,,,,,Bradyrhizobiaceae,,,,,,,,,,,,,,,,,,
19,41294,genus,Bradyrhizobium,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Bradyrhizobium,,,,,,,,,,,,
74,356,family,Bradyrhizobiaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,,,,,Bradyrhizobiaceae,,,,,,,,,,,,,,,,,,
73,356,family,Bradyrhizobiaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,,,,,Bradyrhizobiaceae,,,,,,,,,,,,,,,,,,
72,356,family,Bradyrhizobiaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,,,,,Bradyrhizobiaceae,,,,,,,,,,,,,,,,,,
71,356,family,Bradyrhizobiaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,,,,,Bradyrhizobiaceae,,,,,,,,,,,,,,,,,,
59,356,family,Bradyrhizobiaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,,,,,Bradyrhizobiaceae,,,,,,,,,,,,,,,,,,
58,356,family,Bradyrhizobiaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,,,,,Bradyrhizobiaceae,,,,,,,,,,,,,,,,,,
57,356,family,Bradyrhizobiaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,,,,,Bradyrhizobiaceae,,,,,,,,,,,,,,,,,,
39,356,family,Bradyrhizobiaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,,,,,Bradyrhizobiaceae,,,,,,,,,,,,,,,,,,
37,356,family,Bradyrhizobiaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,,,,,Bradyrhizobiaceae,,,,,,,,,,,,,,,,,,
29,356,family,Bradyrhizobiaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,,,,,Bradyrhizobiaceae,,,,,,,,,,,,,,,,,,
28,41294,genus,Nitrobacter,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Nitrobacter,,,,,,,,,,,,
36,1073,species,Rhodopseudomonas palustris,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,Bradyrhizobiaceae,,,,,,,,,,,Rhodopseudomonas palustris,,,,,,,
34,1073,species,Rhodopseudomonas palustris,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,Bradyrhizobiaceae,,,,,,,,,,,Rhodopseudomonas palustris,,,,,,,
33,1073,species,Rhodopseudomonas palustris,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,Bradyrhizobiaceae,,,,,,,,,,,Rhodopseudomonas palustris,,,,,,,
56,356,family,Bradyrhizobiaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,,,,,Bradyrhizobiaceae,,,,,,,,,,,,,,,,,,
50,356,family,Bradyrhizobiaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,,,,,Bradyrhizobiaceae,,,,,,,,,,,,,,,,,,
49,356,family,Bradyrhizobiaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,,,,,Bradyrhizobiaceae,,,,,,,,,,,,,,,,,,
47,1073,species,Rhodopseudomonas palustris,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,Bradyrhizobiaceae,,,,,,,,,,,Rhodopseudomonas palustris,,,,,,,
46,1073,species,Rhodopseudomonas palustris,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,Bradyrhizobiaceae,,,,,,,,,,,Rhodopseudomonas palustris,,,,,,,
45,1073,species,Rhodopseudomonas palustris,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,Bradyrhizobiaceae,,,,,,,,,,,Rhodopseudomonas palustris,,,,,,,
55,41294,genus,Bradyrhizobium,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Bradyrhizobium,,,,,,,,,,,,
54,41294,genus,Bradyrhizobium,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Bradyrhizobium,,,,,,,,,,,,
70,41294,genus,Bradyrhizobium,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Bradyrhizobium,,,,,,,,,,,,
62,41294,genus,Bradyrhizobium,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Bradyrhizobium,,,,,,,,,,,,
69,41294,genus,Bradyrhizobium,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Bradyrhizobium,,,,,,,,,,,,
67,41294,genus,Bradyrhizobium,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Bradyrhizobium,,,,,,,,,,,,
66,41294,genus,Bradyrhizobium,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Bradyrhizobium,,,,,,,,,,,,
12305,131567,superkingdom,Bacteria,root,,Bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12251,131567,superkingdom,Bacteria,root,,Bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12250,131567,superkingdom,Bacteria,root,,Bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,1224,class,Alphaproteobacteria,root,cellular organisms,Bacteria,,,,,,,,,Alphaproteobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,
92,28211,order,Rhizobiales,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,,,,,Rhizobiales,,,,,,,,,,,,,,,,,,,,,,
88,356,family,Hyphomicrobiaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,,,,,Hyphomicrobiaceae,,,,,,,,,,,,,,,,,,
87,356,family,Hyphomicrobiaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,,,,,Hyphomicrobiaceae,,,,,,,,,,,,,,,,,,
85,356,family,Hyphomicrobiaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,,,,,Hyphomicrobiaceae,,,,,,,,,,,,,,,,,,
84,45401,genus,Hyphomicrobium,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Hyphomicrobium,,,,,,,,,,,,
82,81,species,Hyphomicrobium denitrificans,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,Hyphomicrobiaceae,,,,,,,,,,,Hyphomicrobium denitrificans,,,,,,,
91,119042,genus,Methyloceanibacter,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Methyloceanibacter,,,,,,,,,,,,
105,1224,class,Alphaproteobacteria,root,cellular organisms,Bacteria,,,,,,,,,Alphaproteobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,
95,28211,order,Rhizobiales,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,,,,,Rhizobiales,,,,,,,,,,,,,,,,,,,,,,
104,1224,class,Alphaproteobacteria,root,cellular organisms,Bacteria,,,,,,,,,Alphaproteobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,
98,31989,genus,Labrenzia,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhodobacterales,,,,,,,,,,Labrenzia,,,,,,,,,,,,
103,1224,class,Alphaproteobacteria,root,cellular organisms,Bacteria,,,,,,,,,Alphaproteobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,
101,227873,species,Pannonibacter phragmitetus,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhodobacterales,,,,Rhodobacteraceae,,,,,,,,,,,Pannonibacter phragmitetus,,,,,,,
12249,131567,superkingdom,Bacteria,root,,Bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,1224,class,Alphaproteobacteria,root,cellular organisms,Bacteria,,,,,,,,,Alphaproteobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,
117,356,family,Hyphomicrobiaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,,,,,Hyphomicrobiaceae,,,,,,,,,,,,,,,,,,
116,356,family,Hyphomicrobiaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,,,,,Hyphomicrobiaceae,,,,,,,,,,,,,,,,,,
115,45401,genus,Devosia,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Devosia,,,,,,,,,,,,
113,45401,genus,Devosia,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Devosia,,,,,,,,,,,,
112,45401,genus,Devosia,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Devosia,,,,,,,,,,,,
334,1224,class,Alphaproteobacteria,root,cellular organisms,Bacteria,,,,,,,,,Alphaproteobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,
333,1224,class,Alphaproteobacteria,root,cellular organisms,Bacteria,,,,,,,,,Alphaproteobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,
155,356,family,Phyllobacteriaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,,,,,Phyllobacteriaceae,,,,,,,,,,,,,,,,,,
127,356,family,Phyllobacteriaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,,,,,Phyllobacteriaceae,,,,,,,,,,,,,,,,,,
121,69277,genus,Mesorhizobium,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Mesorhizobium,,,,,,,,,,,,
126,69277,genus,Aminobacter,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Aminobacter,,,,,,,,,,,,
125,69277,genus,Aminobacter,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Aminobacter,,,,,,,,,,,,
154,356,family,Phyllobacteriaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,,,,,Phyllobacteriaceae,,,,,,,,,,,,,,,,,,
134,356,family,Phyllobacteriaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,,,,,Phyllobacteriaceae,,,,,,,,,,,,,,,,,,
132,356,family,Phyllobacteriaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,,,,,Phyllobacteriaceae,,,,,,,,,,,,,,,,,,
130,69277,genus,Nitratireductor,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Nitratireductor,,,,,,,,,,,,
153,69277,genus,Mesorhizobium,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Mesorhizobium,,,,,,,,,,,,
152,69277,genus,Mesorhizobium,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Mesorhizobium,,,,,,,,,,,,
151,69277,genus,Mesorhizobium,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Mesorhizobium,,,,,,,,,,,,
141,69277,genus,Mesorhizobium,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Mesorhizobium,,,,,,,,,,,,
140,69277,genus,Mesorhizobium,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Mesorhizobium,,,,,,,,,,,,
150,69277,genus,Mesorhizobium,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Mesorhizobium,,,,,,,,,,,,
149,69277,genus,Mesorhizobium,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Mesorhizobium,,,,,,,,,,,,
147,69277,genus,Mesorhizobium,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Mesorhizobium,,,,,,,,,,,,
146,69277,genus,Mesorhizobium,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Mesorhizobium,,,,,,,,,,,,
332,1224,class,Alphaproteobacteria,root,cellular organisms,Bacteria,,,,,,,,,Alphaproteobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,
331,1224,class,Alphaproteobacteria,root,cellular organisms,Bacteria,,,,,,,,,Alphaproteobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,
329,1224,class,Alphaproteobacteria,root,cellular organisms,Bacteria,,,,,,,,,Alphaproteobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,
167,82115,genus,Liberibacter,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Liberibacter,,,,,,,,,,,,
166,82115,genus,Liberibacter,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Liberibacter,,,,,,,,,,,,
165,82115,genus,Liberibacter,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Liberibacter,,,,,,,,,,,,
164,82115,genus,Liberibacter,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Liberibacter,,,,,,,,,,,,
163,34019,species,Candidatus Liberibacter asiaticus,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,Rhizobiaceae,,,,,,,,,,,Candidatus Liberibacter asiaticus,,,,,,,
328,1224,class,Alphaproteobacteria,root,cellular organisms,Bacteria,,,,,,,,,Alphaproteobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,
196,1224,class,Alphaproteobacteria,root,cellular organisms,Bacteria,,,,,,,,,Alphaproteobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,
190,356,family,Brucellaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,,,,,Brucellaceae,,,,,,,,,,,,,,,,,,
174,118882,genus,Ochrobactrum,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Ochrobactrum,,,,,,,,,,,,
173,118882,genus,Ochrobactrum,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Ochrobactrum,,,,,,,,,,,,
172,118882,genus,Ochrobactrum,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Ochrobactrum,,,,,,,,,,,,
189,118882,genus,Brucella,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Brucella,,,,,,,,,,,,
181,118882,genus,Brucella,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Brucella,,,,,,,,,,,,
179,118882,genus,Brucella,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Brucella,,,,,,,,,,,,
177,118882,genus,Brucella,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Brucella,,,,,,,,,,,,
188,118882,genus,Brucella,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Brucella,,,,,,,,,,,,
186,118882,genus,Brucella,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Brucella,,,,,,,,,,,,
185,234,species,Brucella abortus,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,Brucellaceae,,,,,,,,,,,Brucella abortus,,,,,,,
195,1224,class,Alphaproteobacteria,root,cellular organisms,Bacteria,,,,,,,,,Alphaproteobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,
194,356,family,Rhizobiaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,,,,,Rhizobiaceae,,,,,,,,,,,,,,,,,,
327,28211,order,Rhizobiales,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,,,,,Rhizobiales,,,,,,,,,,,,,,,,,,,,,,
289,28211,order,Rhizobiales,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,,,,,Rhizobiales,,,,,,,,,,,,,,,,,,,,,,
273,28211,order,Rhizobiales,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,,,,,Rhizobiales,,,,,,,,,,,,,,,,,,,,,,
272,28211,order,Rhizobiales,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,,,,,Rhizobiales,,,,,,,,,,,,,,,,,,,,,,
260,28211,order,Rhizobiales,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,,,,,Rhizobiales,,,,,,,,,,,,,,,,,,,,,,
258,28211,order,Rhizobiales,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,,,,,Rhizobiales,,,,,,,,,,,,,,,,,,,,,,
257,28211,order,Rhizobiales,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,,,,,Rhizobiales,,,,,,,,,,,,,,,,,,,,,,
253,28211,order,Rhizobiales,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,,,,,Rhizobiales,,,,,,,,,,,,,,,,,,,,,,
201,227290,genus,Neorhizobium,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,Rhizobiaceae,,,,,,Neorhizobium,,,,,,,,,,,,
252,28211,order,Rhizobiales,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,,,,,Rhizobiales,,,,,,,,,,,,,,,,,,,,,,
242,82115,below_family,Rhizobium/Agrobacterium group,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,Rhizobium/Agrobacterium group,,,,,,,,,,,,,,,,,
238,82115,below_family,Rhizobium/Agrobacterium group,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,Rhizobium/Agrobacterium group,,,,,,,,,,,,,,,,,
210,227290,genus,Rhizobium,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,Rhizobiaceae,,,,,,Rhizobium,,,,,,,,,,,,
209,227290,genus,Rhizobium,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,Rhizobiaceae,,,,,,Rhizobium,,,,,,,,,,,,
207,227290,genus,Rhizobium,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,Rhizobiaceae,,,,,,Rhizobium,,,,,,,,,,,,
206,227290,genus,Rhizobium,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,Rhizobiaceae,,,,,,Rhizobium,,,,,,,,,,,,
237,82115,below_family,Rhizobium/Agrobacterium group,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,Rhizobium/Agrobacterium group,,,,,,,,,,,,,,,,,
236,82115,below_family,Rhizobium/Agrobacterium group,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,Rhizobium/Agrobacterium group,,,,,,,,,,,,,,,,,
235,82115,below_family,Rhizobium/Agrobacterium group,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,Rhizobium/Agrobacterium group,,,,,,,,,,,,,,,,,
234,82115,below_family,Rhizobium/Agrobacterium group,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,Rhizobium/Agrobacterium group,,,,,,,,,,,,,,,,,
226,82115,below_family,Rhizobium/Agrobacterium group,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,Rhizobium/Agrobacterium group,,,,,,,,,,,,,,,,,
224,82115,below_family,Rhizobium/Agrobacterium group,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,Rhizobium/Agrobacterium group,,,,,,,,,,,,,,,,,
223,227290,genus,Rhizobium,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,Rhizobiaceae,,,,,,Rhizobium,,,,,,,,,,,,
217,227290,genus,Rhizobium,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,Rhizobiaceae,,,,,,Rhizobium,,,,,,,,,,,,
222,227290,genus,Rhizobium,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,Rhizobiaceae,,,,,,Rhizobium,,,,,,,,,,,,
221,227290,genus,Rhizobium,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,Rhizobiaceae,,,,,,Rhizobium,,,,,,,,,,,,
233,379,species,Rhizobium leguminosarum,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,Rhizobiaceae,Rhizobium/Agrobacterium group,,,,,,,,,,Rhizobium leguminosarum,,,,,,,
231,379,species,Rhizobium leguminosarum,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,Rhizobiaceae,Rhizobium/Agrobacterium group,,,,,,,,,,Rhizobium leguminosarum,,,,,,,
230,379,species,Rhizobium leguminosarum,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,Rhizobiaceae,Rhizobium/Agrobacterium group,,,,,,,,,,Rhizobium leguminosarum,,,,,,,
241,227290,genus,Rhizobium,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,Rhizobiaceae,,,,,,Rhizobium,,,,,,,,,,,,
251,28211,order,Rhizobiales,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,,,,,Rhizobiales,,,,,,,,,,,,,,,,,,,,,,
250,356,family,Aurantimonadaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,,,,,Aurantimonadaceae,,,,,,,,,,,,,,,,,,
248,255475,genus,Martelella,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Martelella,,,,,,,,,,,,
247,255475,genus,Martelella,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Alphaproteobacteria,,,,Rhizobiales,,,,,,,,,,Martelella,,,,,,,,,,,,
