,no rank,superkingdom,genus,species,order,phylum,class,family,strain,forma specialis,clade,subphylum,suborder,subspecies,species group,species subgroup,subfamily,subgenus,serogroup,serotype,biotype,tribe,subclass,isolate,pathogroup
445985,cellular organisms,Bacteria,Borreliella,Borreliella burgdorferi,Spirochaetales,Spirochaetes,Spirochaetia,Borreliaceae,Borreliella burgdorferi ZS7,,,,,,,,,,,,,,,,
521007,cellular organisms,Bacteria,Borreliella,Borreliella burgdorferi,Spirochaetales,Spirochaetes,Spirochaetia,Borreliaceae,Borreliella burgdorferi N40,,,,,,,,,,,,,,,,
139,cellular organisms,Bacteria,Borreliella,Borreliella burgdorferi,Spirochaetales,Spirochaetes,Spirochaetia,Borreliaceae,,,,,,,,,,,,,,,,,
1329908,cellular organisms,Bacteria,Borrelia,Borrelia hermsii,Spirochaetales,Spirochaetes,Spirochaetia,Borreliaceae,Borrelia hermsii CC1,,,,,,,,,,,,,,,,
1435045,cellular organisms,Bacteria,Borrelia,Borrelia parkeri,Spirochaetales,Spirochaetes,Spirochaetia,Borreliaceae,Borrelia parkeri HR1,,,,,,,,,,,,,,,,
314724,cellular organisms,Bacteria,Borrelia,Borrelia turicatae,Spirochaetales,Spirochaetes,Spirochaetia,Borreliaceae,Borrelia turicatae 91E135,,,,,,,,,,,,,,,,
1365188,cellular organisms,Bacteria,Borrelia,Borrelia anserina,Spirochaetales,Spirochaetes,Spirochaetia,Borreliaceae,Borrelia anserina Es,,,,,,,,,,,,,,,,
665571,cellular organisms,Bacteria,Spirochaeta,Spirochaeta thermophila,Spirochaetales,Spirochaetes,Spirochaetia,Spirochaetaceae,Spirochaeta thermophila DSM 6192,,,,,,,,,,,,,,,,
869211,cellular organisms,Bacteria,Spirochaeta,Spirochaeta thermophila,Spirochaetales,Spirochaetes,Spirochaetia,Spirochaetaceae,Spirochaeta thermophila DSM 6578,,,,,,,,,,,,,,,,
243275,cellular organisms,Bacteria,Treponema,Treponema denticola,Spirochaetales,Spirochaetes,Spirochaetia,Spirochaetaceae,Treponema denticola ATCC 35405,,,,,,,,,,,,,,,,
565034,cellular organisms,Bacteria,Brachyspira,Brachyspira hyodysenteriae,Brachyspirales,Spirochaetes,Spirochaetia,Brachyspiraceae,Brachyspira hyodysenteriae WA1,,,,,,,,,,,,,,,,
1266923,cellular organisms,Bacteria,Brachyspira,Brachyspira hyodysenteriae,Brachyspirales,Spirochaetes,Spirochaetia,Brachyspiraceae,Brachyspira hyodysenteriae ATCC 27164,,,,,,,,,,,,,,,,
159,cellular organisms,Bacteria,Brachyspira,Brachyspira hyodysenteriae,Brachyspirales,Spirochaetes,Spirochaetia,Brachyspiraceae,,,,,,,,,,,,,,,,,
243276,cellular organisms,Bacteria,Treponema,Treponema pallidum,Spirochaetales,Spirochaetes,Spirochaetia,Spirochaetaceae,Treponema pallidum subsp. pallidum str. Nichols,,,,,Treponema pallidum subsp. pallidum,,,,,,,,,,,
162,cellular organisms,Bacteria,Treponema,Treponema phagedenis,Spirochaetales,Spirochaetes,Spirochaetia,Spirochaetaceae,,,,,,,,,,,,,,,,,
869209,cellular organisms,Bacteria,Treponema,Treponema succinifaciens,Spirochaetales,Spirochaetes,Spirochaetia,Spirochaetaceae,Treponema succinifaciens DSM 2489,,,,,,,,,,,,,,,,
355278,Leptospira biflexa serovar Patoc,Bacteria,Leptospira,Leptospira biflexa,Leptospirales,Spirochaetes,Spirochaetia,Leptospiraceae,Leptospira biflexa serovar Patoc strain 'Patoc 1 (Ames)',,,,,,,,,,,,,,,,
456481,Leptospira biflexa serovar Patoc,Bacteria,Leptospira,Leptospira biflexa,Leptospirales,Spirochaetes,Spirochaetia,Leptospiraceae,Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)',,,,,,,,,,,,,,,,
267671,cellular organisms,Bacteria,Leptospira,Leptospira interrogans,Leptospirales,Spirochaetes,Spirochaetia,Leptospiraceae,Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130,,,,,,,,,,,,,,,,
214675,Leptospira interrogans serovar Manilae,Bacteria,Leptospira,Leptospira interrogans,Leptospirales,Spirochaetes,Spirochaetia,Leptospiraceae,,,,,,,,,,,,,,,,,
173,cellular organisms,Bacteria,Leptospira,Leptospira interrogans,Leptospirales,Spirochaetes,Spirochaetia,Leptospiraceae,,,,,,,,,,,,,,,,,
44275,cellular organisms,Bacteria,Leptospira,Leptospira interrogans,Leptospirales,Spirochaetes,Spirochaetia,Leptospiraceae,,,,,,,,,,,,,,,,,
355276,Leptospira borgpetersenii serovar Hardjo-bovis,Bacteria,Leptospira,Leptospira borgpetersenii,Leptospirales,Spirochaetes,Spirochaetia,Leptospiraceae,Leptospira borgpetersenii serovar Hardjo-bovis str. L550,,,,,,,,,,,,,,,,
280505,Leptospira borgpetersenii serovar Ballum,Bacteria,Leptospira,Leptospira borgpetersenii,Leptospirales,Spirochaetes,Spirochaetia,Leptospiraceae,,,,,,,,,,,,,,,,,
338217,Leptospira borgpetersenii serovar Hardjo-bovis,Bacteria,Leptospira,Leptospira borgpetersenii,Leptospirales,Spirochaetes,Spirochaetia,Leptospiraceae,,,,,,,,,,,,,,,,,
1162668,cellular organisms,Bacteria,Leptospirillum,Leptospirillum ferrooxidans,Nitrospirales,Nitrospirae,Nitrospira,Nitrospiraceae,Leptospirillum ferrooxidans C2-3,,,,,,Leptospirillum sp. Group I,,,,,,,,,,
192,cellular organisms,Bacteria,Azospirillum,Azospirillum brasilense,Rhodospirillales,Proteobacteria,Alphaproteobacteria,Rhodospirillaceae,,,,,,,,,,,,,,,,,
137722,cellular organisms,Bacteria,Azospirillum,Azospirillum lipoferum,Rhodospirillales,Proteobacteria,Alphaproteobacteria,Rhodospirillaceae,Azospirillum sp. B510,,,,,,,,,,,,,,,,
862719,cellular organisms,Bacteria,Azospirillum,Azospirillum lipoferum,Rhodospirillales,Proteobacteria,Alphaproteobacteria,Rhodospirillaceae,Azospirillum lipoferum 4B,,,,,,,,,,,,,,,,
1273173,cellular organisms,Bacteria,Campylobacter,Campylobacter coli,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,Campylobacter coli CVM N29710,,,delta/epsilon subdivisions,,,,,,,,,,,,,
1183378,cellular organisms,Bacteria,Campylobacter,Campylobacter coli,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,Campylobacter coli RM1875,,,delta/epsilon subdivisions,,,,,,,,,,,,,
195,cellular organisms,Bacteria,Campylobacter,Campylobacter coli,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,,,,delta/epsilon subdivisions,,,,,,,,,,,,,
360106,cellular organisms,Bacteria,Campylobacter,Campylobacter fetus,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,Campylobacter fetus subsp. fetus 82-40,,,delta/epsilon subdivisions,,Campylobacter fetus subsp. fetus,,,,,,,,,,,
1240980,cellular organisms,Bacteria,Campylobacter,Campylobacter fetus,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,Campylobacter fetus subsp. fetus 04/554,,,delta/epsilon subdivisions,,Campylobacter fetus subsp. fetus,,,,,,,,,,,
1507806,cellular organisms,Bacteria,Campylobacter,Campylobacter fetus,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,,,,delta/epsilon subdivisions,,Campylobacter fetus subsp. testudinum,,,,,,,,,,,
32019,cellular organisms,Bacteria,Campylobacter,Campylobacter fetus,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,,,,delta/epsilon subdivisions,,Campylobacter fetus subsp. fetus,,,,,,,,,,,
192222,cellular organisms,Bacteria,Campylobacter,Campylobacter jejuni,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819,,,delta/epsilon subdivisions,,Campylobacter jejuni subsp. jejuni,,,,,,,,,,,
354242,cellular organisms,Bacteria,Campylobacter,Campylobacter jejuni,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,Campylobacter jejuni subsp. jejuni 81-176,,,delta/epsilon subdivisions,,Campylobacter jejuni subsp. jejuni,,,,,,,,,,,
407148,cellular organisms,Bacteria,Campylobacter,Campylobacter jejuni,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,Campylobacter jejuni subsp. jejuni 81116,,,delta/epsilon subdivisions,,Campylobacter jejuni subsp. jejuni,,,,,,,,,,,
567106,cellular organisms,Bacteria,Campylobacter,Campylobacter jejuni,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,Campylobacter jejuni subsp. jejuni IA3902,,,delta/epsilon subdivisions,,Campylobacter jejuni subsp. jejuni,,,,,,,,,,,
645464,cellular organisms,Bacteria,Campylobacter,Campylobacter jejuni,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,Campylobacter jejuni subsp. jejuni M1,,,delta/epsilon subdivisions,,Campylobacter jejuni subsp. jejuni,,,,,,,,,,,
1201032,cellular organisms,Bacteria,Campylobacter,Campylobacter jejuni,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,Campylobacter jejuni subsp. jejuni PT14,,,delta/epsilon subdivisions,,Campylobacter jejuni subsp. jejuni,,,,,,,,,,,
1347340,cellular organisms,Bacteria,Campylobacter,Campylobacter jejuni,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,Campylobacter jejuni 4031,,,delta/epsilon subdivisions,,,,,,,,,,,,,
32022,cellular organisms,Bacteria,Campylobacter,Campylobacter jejuni,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,,,,delta/epsilon subdivisions,,Campylobacter jejuni subsp. jejuni,,,,,,,,,,,
197,cellular organisms,Bacteria,Campylobacter,Campylobacter jejuni,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,,,,delta/epsilon subdivisions,,,,,,,,,,,,,
1031746,cellular organisms,Bacteria,Campylobacter,Campylobacter hyointestinalis,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,Campylobacter hyointestinalis subsp. hyointestinalis LMG 9260,,,delta/epsilon subdivisions,,Campylobacter hyointestinalis subsp. hyointestinalis,,,,,,,,,,,
1031752,cellular organisms,Bacteria,Campylobacter,Campylobacter hyointestinalis,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,Campylobacter hyointestinalis subsp. lawsonii CCUG 27631,,,delta/epsilon subdivisions,,Campylobacter hyointestinalis subsp. lawsonii,,,,,,,,,,,
91352,cellular organisms,Bacteria,Campylobacter,Campylobacter hyointestinalis,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,,,,delta/epsilon subdivisions,,Campylobacter hyointestinalis subsp. hyointestinalis,,,,,,,,,,,
91353,cellular organisms,Bacteria,Campylobacter,Campylobacter hyointestinalis,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,,,,delta/epsilon subdivisions,,Campylobacter hyointestinalis subsp. lawsonii,,,,,,,,,,,
360104,cellular organisms,Bacteria,Campylobacter,Campylobacter concisus,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,Campylobacter concisus 13826,,,delta/epsilon subdivisions,,,,,,,,,,,,,
199,cellular organisms,Bacteria,Campylobacter,Campylobacter concisus,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,,,,delta/epsilon subdivisions,,,,,,,,,,,,,
360105,cellular organisms,Bacteria,Campylobacter,Campylobacter curvus,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,Campylobacter curvus 525.92,,,delta/epsilon subdivisions,,,,,,,,,,,,,
200,cellular organisms,Bacteria,Campylobacter,Campylobacter curvus,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,,,,delta/epsilon subdivisions,,,,,,,,,,,,,
306263,cellular organisms,Bacteria,Campylobacter,Campylobacter lari,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,Campylobacter lari RM2100,,,delta/epsilon subdivisions,,,,,,,,,,,,,
1031536,cellular organisms,Bacteria,Campylobacter,Campylobacter lari,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,Campylobacter lari subsp. concheus LMG 11760,,,delta/epsilon subdivisions,,Campylobacter lari subsp. concheus,,,,,,,,,,,
1388749,cellular organisms,Bacteria,Campylobacter,Campylobacter lari,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,Campylobacter lari NCTC 11845,,,delta/epsilon subdivisions,,,,,,,,,,,,,
1453988,cellular organisms,Bacteria,Campylobacter,Campylobacter lari,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,Campylobacter lari RM16712,,,delta/epsilon subdivisions,,,,,,,,,,,,,
201,cellular organisms,Bacteria,Campylobacter,Campylobacter lari,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,,,,delta/epsilon subdivisions,,,,,,,,,,,,,
1032067,cellular organisms,Bacteria,Campylobacter,Campylobacter mucosalis,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,Campylobacter mucosalis CCUG 21559,,,delta/epsilon subdivisions,,,,,,,,,,,,,
202,cellular organisms,Bacteria,Campylobacter,Campylobacter mucosalis,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,,,,delta/epsilon subdivisions,,,,,,,,,,,,,
203,cellular organisms,Bacteria,Campylobacter,Campylobacter rectus,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,,,,delta/epsilon subdivisions,,,,,,,,,,,,,
204,cellular organisms,Bacteria,Campylobacter,Campylobacter showae,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,,,,delta/epsilon subdivisions,,,,,,,,,,,,,
1031920,Campylobacter sputorum biovar faecalis,Bacteria,Campylobacter,Campylobacter sputorum,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,Campylobacter sputorum bv. faecalis CCUG 20703,,,delta/epsilon subdivisions,,,,,,,,,,,,,
1032066,Campylobacter sputorum biovar paraureolyticus,Bacteria,Campylobacter,Campylobacter sputorum,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,Campylobacter sputorum bv. paraureolyticus LMG 11764,,,delta/epsilon subdivisions,,,,,,,,,,,,,
206,cellular organisms,Bacteria,Campylobacter,Campylobacter sputorum,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,,,,delta/epsilon subdivisions,,,,,,,,,,,,,
